value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
light_rail,railway,0,3409,969429.0053,261,0,3409,284.3734248,0,,0,,,,,,,
disused,railway,1590.929021,3056,972976.7357,813,0,3056,318.3824397,0.001635115171,,0.5205919573,,,,,,,
proposed,railway,816994.7014,1751,1522890.118,704,21,1730,880.283305,0.5364764614,2.457386364,472.2512725,11.60503837,,,,0,,0
subway,railway,0,1630,541487.0916,130,0,1630,332.2006697,0,,0,,,,,,,
platform,railway,444246.46,1529,236083.7431,461,184,1345,175.5269466,1.881732533,2.917570499,330.2947658,9.636582647,,,,0,,0
construction,railway,1766.434671,735,509980.7812,153,9,726,702.4528667,0.003463727921,,2.433105607,,,,,,,
razed,railway,0,600,449294.4648,359,1,599,750.0742317,0,,0,,,,,,,
miniature,railway,148525.7895,486,43049.76174,49,0,486,88.57975666,3.450095505,,305.6086203,,,,,,,
narrow_gauge,railway,189560.4875,335,86069.89797,60,0,335,256.9250686,2.202401675,,565.8522014,,,,,,,
tram,railway,1640.384111,228,49285.01843,28,0,228,216.1623615,0.0332836258,,7.194667154,,,,,,,
monorail,railway,169358.2305,226,38073.46586,14,0,226,168.4666631,4.44819579,,749.3727014,,,,,,,
preserved,railway,39750.02342,43,5341.544472,8,0,43,124.2219645,7.441672279,,924.4191494,,,,,,,
turntable,railway,9690.997709,36,1664.372522,29,3,33,50.43553096,5.822613377,,293.6665972,,,,,,,
funicular,railway,0,23,2768.737717,12,0,23,120.3799007,0,,0,,,,,,,
platform_edge,railway,0,18,2657.366855,6,0,18,147.6314919,0,,0,,,,,,,
snowshed,railway,30862.93818,17,5993.967519,10,0,17,352.5863247,5.148999903,,1815.466952,,,,,,,
station,railway,247649.483,642,7265.590155,424,628,14,518.9707253,34.0852536,0.03301886792,17689.24878,5.840789693,,,,1,,1
yard,railway,1110685.903,42,14056.05667,39,36,6,2342.676112,79.01831427,,185114.3172,,,,,,,
yes,bridge,170309.8782,53993,3427448.56,12745,110,53883,63.60908932,0.04968998811,,3.160734892,,,,,,,
boardwalk,bridge,176.4605168,317,18251.88321,117,0,317,57.57691865,0.009668071771,,0.5566577819,,,,,,,
viaduct,bridge,407057.8538,269,76467.24219,130,0,269,284.2648408,5.323297168,2.069230769,1513.226222,31.3121426,,,,0,,0
aqueduct,bridge,109.1976781,219,27655.2719,145,0,219,126.2797804,0.003948530265,,0.4986195346,,,,,,,
movable,bridge,6842.465176,84,6026.88783,40,0,84,71.74866465,1.135323133,,81.45791876,,,,,,,
jet_bridge,bridge,0,39,1134.167879,3,0,39,29.08122767,0,,0,,,,,,,
low_water_crossing,bridge,790.8455923,38,923.3813574,22,0,38,24.2995094,0.8564669256,,20.81172611,,,,,,,
covered,bridge,2761.493085,36,1720.701349,13,0,36,47.79725969,1.604864835,,76.70814126,,,,,,,
trestle,bridge,12071.44394,30,8277.608473,22,0,30,275.9202824,1.458325068,,402.3814647,,,,,,,
no,bridge,0,21,3965.790695,13,1,20,198.2895347,0,,0,,,,,,,
abandoned,bridge,0,10,825.2749402,9,0,10,82.52749402,0,,0,,,,,,,
proposed,bridge,352.3299303,7,3689.739559,5,0,7,527.1056513,0.09548910558,,50.33284719,,,,,,,
cantilever,bridge,2204.733605,5,837.5092402,5,0,5,167.501848,2.632488693,,440.946721,,,,,,,
overpass,bridge,2796.520715,2,353.4812299,2,0,2,176.7406149,7.911369765,,1398.260357,,,,,,,
log_bridge,bridge,0,2,13.73828614,2,0,2,6.869143069,0,,0,,,,,,,
decorative,bridge,0,2,9.323962179,1,0,2,4.661981089,0,,0,,,,,,,
gate,bridge,0,1,2.022294263,1,0,1,2.022294263,0,,0,,,,,,,
gangway,bridge,0,1,4.701466405,1,0,1,4.701466405,0,,0,,,,,,,
dirt,bridge,0,1,25.79505262,1,0,1,25.79505262,0,,0,,,,,,,
pedestrian,bridge,76.42544069,1,37.70697494,1,0,1,37.70697494,2.026825032,,76.42544069,,,,,,,
tennis,sport,9964235.576,13744,1367120.292,3220,89,13655,100.1186593,7.288484879,4.24068323,729.713334,30.94483098,,0,,0,unimportant,0
basketball,sport,5134233.371,12192,947297.6142,3199,161,12031,78.73806119,5.419873642,3.76086277,426.7503425,16.04949475,,0,,0,unimportant,0
baseball,sport,43248902.88,8756,2205513.889,2916,215,8541,258.2266584,19.60944481,2.929012346,5063.681405,148.3158535,,1,,1,unimportant,1
soccer,sport,15804607.79,2878,806966.342,1343,25,2853,282.8483498,19.58521312,2.124348474,5539.645213,117.6813685,,1,,1,unimportant,1
golf,sport,8278635.447,2761,305361.4575,425,20,2741,111.4051286,27.11093769,6.449411765,3020.2975,194.7914223,,,,0,,0
four_square,sport,37192.35825,1549,29765.97822,215,2,1547,19.24109775,1.249492221,,24.04160197,,,,,,,
