value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way,,,freddie's decision,freddie's comments,use
railway,tunnel,0,1,3.229635701,1,0,1,0,3.229635701,,,,,
railway passage,tunnel,0,1,4.033843358,1,0,1,0,4.033843358,,,,,
impassable,smoothness,0,392,212814.5408,226,1,391,0,544.282713,,,0,,0
fair,smoothness,0,3,1443.181316,2,0,3,0,481.0604385,,,0,,
3,smoothness,0,1,71.67513931,1,0,1,0,71.67513931,,,,,
medium,smoothness,0,1,79.37295275,1,0,1,0,79.37295275,,,,,
"surface, Street",parking,0,2,330.5346884,1,0,2,0,165.2673442,,,,,
right parallel,parking,0,2,527.3608883,2,0,2,0,263.6804441,,,0,,
right,parking,0,1,61.57552982,1,0,1,0,61.57552982,,,,,
Street,parking,0,1,315.6523924,1,0,1,0,315.6523924,,,0,,
separate,parking,0,1,93.63296068,1,0,1,0,93.63296068,,,,,
branch,usage,0,4643,3018241.221,1700,0,4643,0,650.0627227,,,0,,0
irrigation,usage,0,1036,344921.5721,184,0,1036,0,332.9358804,,,0,,0
military,usage,0,1029,417839.0321,103,1,1028,0,406.4582024,,,0,,0
penstock,usage,0,164,83798.37202,76,0,164,0,510.9656831,,,0,,
headrace,usage,0,110,55274.71529,51,0,110,0,502.4974117,,,0,,
tailrace,usage,0,21,3249.705801,6,0,21,0,154.7478953,,,,,
science,usage,0,6,1763.815188,1,0,6,0,293.9691979,,,0,,
marine railway,usage,0,3,124.2330012,1,0,3,0,41.41100039,,,,,
station,usage,0,2,84.90751538,1,0,2,0,42.45375769,,,,,
marine,usage,0,1,23.42241642,1,0,1,0,23.42241642,,,,,
underwater,location,0,74,95122.2762,64,0,74,0,1285.436165,,,0,,
aboveground,location,0,17,1148.66629,12,0,17,0,67.56860531,,,,,
tunnel,location,0,15,18208.08424,13,0,15,0,1213.872283,,,0,,
"Main And Pepper, El Cajon",location,0,13,2242.444743,2,1,12,0,186.8703953,,,,,
bridge,location,0,13,584.579346,7,5,8,0,73.07241825,,,,,
overgroundq,location,0,4,122.0528504,2,0,4,0,30.5132126,,,,,
overwater,location,0,3,63.72513664,3,0,3,0,21.24171221,,,,,
wall,location,0,8,22.91181102,5,7,1,0,22.91181102,,,,,
uoverground,location,0,1,27.23225858,1,0,1,0,27.23225858,,,,,
ground,location,0,1,38.09867134,1,0,1,0,38.09867134,,,,,
