value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way
retail,landuse,319169237.32317084,12757.0,7485160.0623861365,2816.0,64.0,12693.0,25145.29562145835,589.7077178276322
farmyard,landuse,535563683.0629958,9750.0,8918894.120107569,4658.0,7.0,9743.0,54969.07349512427,915.415592744285
forest,landuse,1549767581.651701,7843.0,10645625.510847975,2680.0,23.0,7820.0,198179.9976536702,1361.3331855304316
construction,landuse,140415947.97657353,3106.0,2387338.303057214,1348.0,0.0,3106.0,45207.96779670751,768.6214755496503
military,landuse,7202944471.3669405,3132.0,16939546.314829357,2219.0,197.0,2935.0,2454154.845440184,5771.566035716987
religious,landuse,28811628.95308666,2497.0,948726.2832049527,1252.0,0.0,2497.0,11538.497778568946,379.946449020806
farm,landuse,304514095.7714771,2321.0,3028117.2417421867,847.0,10.0,2311.0,131767.2417877443,1310.3060327746373
recreation_ground,landuse,825835941.4099286,1869.0,3043821.505319302,1160.0,19.0,1850.0,446397.80616752896,1645.3089217942172
cemetery,landuse,57482693.572002426,1457.0,965854.8636693567,1205.0,3.0,1454.0,39534.17714718186,664.274321643299
brownfield,landuse,34060085.236457616,1243.0,576014.4128812016,563.0,1.0,1242.0,27423.579095376503,463.7797205162654
quarry,landuse,288296298.25744355,4036.0,2203765.620983804,2806.0,2808.0,1228.0,234768.97252234817,1794.5974112245963
greenfield,landuse,39163084.42061413,818.0,517099.3059346436,317.0,1.0,817.0,47935.2318489769,632.9244870681073
sidewalk,footway,203763347.71137163,141325.0,25621594.639958546,3761.0,1.0,141324.0,1441.8170141757355,181.29684016839707
crossing,footway,3034005.375081731,108978.0,2522899.905669301,3662.0,23.0,108955.0,27.84640792145134,23.155430275520175
access_aisle,footway,201.25537785518281,1540.0,24173.255266152024,351.0,0.0,1540.0,0.13068531029557326,15.696919003994822
traffic_island,footway,259.8460622657815,394.0,2185.1694399362805,104.0,0.0,394.0,0.6595077722481764,5.546115329787514
link,footway,0.0,314.0,2241.8374837084834,51.0,0.0,314.0,0.0,7.139609820727654
yes,footway,0.0,171.0,54571.98884151785,31.0,0.0,171.0,0.0,319.13443766969505
ramp,footway,0.0,36.0,753.3725621183224,15.0,0.0,36.0,0.0,20.927015614397845
indoor,footway,0.0,35.0,38.9827024636787,2.0,0.0,35.0,0.0,1.1137914989622486
path,footway,2144.1698494142047,30.0,2074.8378293192955,11.0,1.0,29.0,73.9368913591105,71.54613204549295
trail,footway,333.846133892123,25.0,2168.817918976274,5.0,0.0,25.0,13.353845355684921,86.75271675905097
alley,footway,0.0,7.0,351.27450538031155,3.0,0.0,7.0,0.0,50.18207219718737
square,footway,6418.422305037782,3.0,689.1850737642051,3.0,0.0,3.0,2139.474101679261,229.72835792140168
access,footway,0.0,3.0,155.44107293809023,3.0,0.0,3.0,0.0,51.81369097936341
crosswalk,footway,0.0,2.0,9.877343643465192,2.0,0.0,2.0,0.0,4.938671821732596
dirt,footway,0.0,1.0,416.1785320237054,1.0,0.0,1.0,0.0,416.1785320237054
